description;strike;kind;bid;ask;underBid;underAsk;created_at
GFGC1033OC;1033;CALL;250;\N;1211,15;1213;9/8/2023 11:28
GFGC1033OC;1033;CALL;270,602;\N;1211;1212;9/8/2023 11:29
GFGC1033OC;1033;CALL;270,652;324,654;1208;1211;9/8/2023 11:30
GFGC1033OC;1033;CALL;281,571;322,127;1210;1211;9/8/2023 11:32
GFGC1033OC;1033;CALL;281,611;322,107;1211;1212,5;9/8/2023 11:33
GFGC1033OC;1033;CALL;281,651;322,067;1210;1211;9/8/2023 11:34
GFGC1033OC;1033;CALL;281,691;322,027;1206;1207;9/8/2023 11:35
GFGC1033OC;1033;CALL;281,711;322,007;1210;1211,9;9/8/2023 11:37
GFGC1033OC;1033;CALL;281,751;322,007;1210;1212;9/8/2023 11:38
GFGC1033OC;1033;CALL;281,791;321,967;1209;1210;9/8/2023 11:39
GFGC1033OC;1033;CALL;281,831;321,957;1203,5;1210;9/8/2023 11:41
GFGC1033OC;1033;CALL;281,861;325,925;1208,5;1209,95;9/8/2023 11:42
GFGC1033OC;1033;CALL;281,891;325,925;1208,5;1209,5;9/8/2023 11:43
GFGC1033OC;1033;CALL;281,911;325,597;1202,5;1209;9/8/2023 11:44
GFGC1033OC;1033;CALL;281,941;325,577;1204,15;1209,45;9/8/2023 11:45
GFGC1033OC;1033;CALL;282,94;323,306;1204,7;1209;9/8/2023 11:46
GFGC1033OC;1033;CALL;282,94;323,296;1204,2;1209;9/8/2023 11:47
GFGC1033OC;1033;CALL;282,94;322,857;1206;1208;9/8/2023 11:48
GFGC1033OC;1033;CALL;283,684;322,857;1204,2;1205;9/8/2023 11:49
GFGC1033OC;1033;CALL;283,684;318,062;1204,5;1209;9/8/2023 11:50
GFGC1033OC;1033;CALL;283,438;321,473;1204,25;1208;9/8/2023 11:52
GFGC1033OC;1033;CALL;282,082;327,508;1204,8;1207;9/8/2023 11:53
GFGC1033OC;1033;CALL;280,66;327,508;1204,8;1208;9/8/2023 11:54
GFGC1033OC;1033;CALL;283,949;323,805;1207,5;1208;9/8/2023 11:56
GFGC1033OC;1033;CALL;283,949;323,775;1203,25;1207,5;9/8/2023 11:58
GFGC1033OC;1033;CALL;283,949;323,745;1207,5;1208;9/8/2023 11:59
GFGC1033OC;1033;CALL;285,357;323,735;1201,7;1203,25;9/8/2023 12:00
GFGC1033OC;1033;CALL;285,377;323,725;1195,45;1199,5;9/8/2023 12:01
GFGC1033OC;1033;CALL;282,536;323,715;1191,25;1202,5;9/8/2023 12:02
GFGC1033OC;1033;CALL;282,536;323,705;1203,5;1206,8;9/8/2023 12:03
GFGC1033OC;1033;CALL;283,774;323,685;1205;1206,75;9/8/2023 12:04
GFGC1033OC;1033;CALL;285,469;323,675;1205,6;1209;9/8/2023 12:05
GFGC1033OC;1033;CALL;283,774;323,675;1206,05;1209;9/8/2023 12:06
GFGC1033OC;1033;CALL;285,922;323,675;1209,95;1210;9/8/2023 12:14
GFGC1033OC;1033;CALL;283,853;323,675;1208,8;1209,9;9/8/2023 12:16
GFGC1033OC;1033;CALL;283,774;323,675;1208,8;1209;9/8/2023 12:18
GFGC1033OC;1033;CALL;284,412;323,675;1203,5;1207,5;9/8/2023 12:21
GFGC1033OC;1033;CALL;283,774;323,675;1205;1207,8;9/8/2023 12:22
GFGC1033OC;1033;CALL;240;323,675;1190;1191,55;9/8/2023 12:43
GFGC1033OC;1033;CALL;250;323,675;1184,1;1191,15;9/8/2023 12:47
GFGC1033OC;1033;CALL;240;323,675;1177;1177,5;9/8/2023 13:00
GFGC1033OC;1033;CALL;235;323,675;1176;1177;9/8/2023 13:01
GFGC1033OC;1033;CALL;235,1;340;1168;1171,4;9/8/2023 13:21
GFGC1033OC;1033;CALL;235,1;338;1165;1168,5;9/8/2023 13:22
GFGC1033OC;1033;CALL;235,1;290;1169;1172;9/8/2023 13:23
GFGC1033OC;1033;CALL;235,1;280;1152,6;1159,5;9/8/2023 13:29
GFGC1033OC;1033;CALL;235,1;311,4;1153,1;1157,5;9/8/2023 13:31
GFGC1033OC;1033;CALL;135,1;311,4;1153,1;1158;9/8/2023 13:32
GFGC1033OC;1033;CALL;135,1;280;1155;1156;9/8/2023 13:33
GFGC1033OC;1033;CALL;180,1;292,1;1163,5;1163,85;9/8/2023 13:52
GFGC1033OC;1033;CALL;180,1;275,583;1160;1163;9/8/2023 13:53
GFGC1033OC;1033;CALL;180;275,583;1163,5;1164;9/8/2023 13:54
GFGC1033OC;1033;CALL;200;275,583;1163,5;1164;9/8/2023 13:58
GFGC1033OC;1033;CALL;200,1;275,583;1160,5;1164,85;9/8/2023 14:01
GFGC1033OC;1033;CALL;200;275,583;1160;1161,5;9/8/2023 14:02
GFGC1033OC;1033;CALL;230;275,583;1157;1160;9/8/2023 14:08
GFGC1033OC;1033;CALL;180;275,583;1139,5;1140;9/8/2023 14:47
GFGC1033OC;1033;CALL;225;275,583;1141;1145;9/8/2023 14:54
GFGC1033OC;1033;CALL;180,001;275,583;1141,6;1142;9/8/2023 14:56
GFGC1033OC;1033;CALL;180,001;275,583;1137;1138;9/8/2023 15:12
GFGC1033OC;1033;CALL;190;275,583;1135,2;1137;9/8/2023 15:14
GFGC1033OC;1033;CALL;210;275,583;1127,85;1130;9/8/2023 15:39
GFGC1033OC;1033;CALL;211;275,583;1130;1132,5;9/8/2023 15:43
GFGC1033OC;1033;CALL;220;275,583;1128,3;1130;9/8/2023 15:44
GFGC1033OC;1033;CALL;211;275,583;1132;1135;9/8/2023 15:53
GFGC1033OC;1033;CALL;230;275,583;1132,05;1135;9/8/2023 15:54
GFGC1033OC;1033;CALL;180,001;275,583;1135,75;1136,5;9/8/2023 16:05
GFGC1033OC;1033;CALL;180,1;275,583;1120,5;1125;9/8/2023 16:19
GFGC1033OC;1033;CALL;180,1;263,999;1115,5;1118;9/8/2023 16:26
GFGC1033OC;1033;CALL;180,1;255,889;1113;1114;9/8/2023 16:40
GFGC1033OC;1033;CALL;180,1;255,89;1113,65;1114;9/8/2023 16:45
